epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20591.1,1.26858,1.50215,1.5878,0.50162,0.77778,0.71225,0.51932,1.20737,1.54587,1.75868,0.000539275,0.000539275,0.000539275
43,21099.3,1.19286,1.43238,1.54193,0.7172,0.60827,0.67644,0.54382,1.08095,1.64854,1.65563,0.000511769,0.000511769,0.000511769
44,21598.9,1.20016,1.43322,1.55113,0.60253,0.76568,0.74055,0.57408,1.22576,1.50706,1.76664,0.000484263,0.000484263,0.000484263
45,22103.3,1.2284,1.47951,1.55526,0.66115,0.64595,0.68464,0.49283,1.28282,1.709,1.8589,0.000456758,0.000456758,0.000456758
46,22609.3,1.20345,1.39395,1.54732,0.65778,0.55556,0.62109,0.49117,1.14732,1.69277,1.65885,0.000429253,0.000429253,0.000429253
47,23115.5,1.22507,1.42148,1.55662,0.60775,0.66667,0.74518,0.56731,1.20759,1.45159,1.70338,0.000401747,0.000401747,0.000401747
48,23622.2,1.17633,1.35379,1.53269,0.65575,0.77778,0.76038,0.55127,1.07875,1.59202,1.66467,0.000374242,0.000374242,0.000374242
49,24123.4,1.1362,1.31888,1.49853,0.62208,0.77778,0.78384,0.5995,1.14197,1.36743,1.71623,0.000346736,0.000346736,0.000346736
50,24622.5,1.13144,1.2964,1.47795,0.89524,0.55556,0.73007,0.5795,1.08594,1.49604,1.67082,0.000319231,0.000319231,0.000319231
51,25119.1,1.24188,1.35135,1.6645,0.41337,0.83333,0.75254,0.58186,1.00174,1.45283,1.58959,0.000291725,0.000291725,0.000291725
52,25617.6,1.21651,1.3172,1.64184,0.68471,0.61111,0.78325,0.60597,0.98967,1.32754,1.55873,0.00026422,0.00026422,0.00026422
53,26112.8,1.14775,1.23604,1.6064,0.61354,0.61182,0.74042,0.58903,1.0487,1.36606,1.55459,0.000236714,0.000236714,0.000236714
54,26611.5,1.14371,1.17181,1.58834,0.65875,0.59291,0.69021,0.56714,1.0108,1.47594,1.55895,0.000209209,0.000209209,0.000209209
55,27110.9,1.06238,1.10396,1.54549,0.65198,0.72222,0.72861,0.59745,1.00864,1.35925,1.53142,0.000181703,0.000181703,0.000181703
56,27610.6,1.07113,1.09456,1.53453,0.69443,0.77778,0.76777,0.61155,1.03144,1.14571,1.57016,0.000154198,0.000154198,0.000154198
57,28111,1.05142,1.065,1.50993,0.78878,0.69947,0.81411,0.6049,1.1595,1.21707,1.72149,0.000126692,0.000126692,0.000126692
58,28611.5,1.04933,1.03359,1.50669,0.68781,0.77606,0.83456,0.63085,1.13001,1.18304,1.67766,9.91865e-05,9.91865e-05,9.91865e-05
59,29109.6,1.02358,1.06226,1.49219,0.74825,0.7959,0.81588,0.64966,1.02754,1.11582,1.56659,7.1681e-05,7.1681e-05,7.1681e-05
60,29603.2,1.01164,1.03058,1.47508,0.70191,0.77778,0.8301,0.64683,1.02143,1.11811,1.55745,4.41755e-05,4.41755e-05,4.41755e-05
